מס.סידורי,טרנזקציה,תאריך העסקה,שם המוצר,חובה,זכות,חשבון בחובה,חשבון בזכות,גיליון,קישור טרנזקציה
132,3791434,2025-11-01,Credit card,150.0,,70100,,נתונים נוספים,https://tickets.hapoel.co.il/Transaction2/Details?id=3791434
133,3791434,2025-11-01,גמר גביע ווינר: הפועל תל אביב,,50.0,,4242.0,נתונים נוספים,https://tickets.hapoel.co.il/Transaction2/Details?id=3791434
134,3791434,2025-11-01,גמר גביע ווינר: הפועל תל אביב,,50.0,,4242.0,נתונים נוספים,https://tickets.hapoel.co.il/Transaction2/Details?id=3791434
135,3791434,2025-11-01,גמר גביע ווינר: הפועל תל אביב,,50.0,,4242.0,נתונים נוספים,https://tickets.hapoel.co.il/Transaction2/Details?id=3791434
136,3791436,2025-11-01,Credit card,50.0,,70100,,נתונים נוספים,https://tickets.hapoel.co.il/Transaction2/Details?id=3791436
137,3791436,2025-11-01,גמר גביע ווינר: הפועל תל אביב,,50.0,,4242.0,נתונים נוספים,https://tickets.hapoel.co.il/Transaction2/Details?id=3791436
138,3791440,2025-11-01,Credit card,50.0,,70100,,נתונים נוספים,https://tickets.hapoel.co.il/Transaction2/Details?id=3791440
139,3791440,2025-11-01,גמר גביע ווינר: הפועל תל אביב,,50.0,,4242.0,נתונים נוספים,https://tickets.hapoel.co.il/Transaction2/Details?id=3791440
140,3791446,2025-11-01,Credit card,120.0,,70100,,נתונים נוספים,https://tickets.hapoel.co.il/Transaction2/Details?id=3791446
141,3791446,2025-11-01,גמר גביע ווינר: הפועל תל אביב,,60.0,,4242.0,נתונים נוספים,https://tickets.hapoel.co.il/Transaction2/Details?id=3791446
142,3791446,2025-11-01,גמר גביע ווינר: הפועל תל אביב,,60.0,,4242.0,נתונים נוספים,https://tickets.hapoel.co.il/Transaction2/Details?id=3791446
143,3791449,2025-11-01,Credit card,180.0,,70100,,נתונים נוספים,https://tickets.hapoel.co.il/Transaction2/Details?id=3791449
144,3791449,2025-11-01,גמר גביע ווינר: הפועל תל אביב,,60.0,,4242.0,נתונים נוספים,https://tickets.hapoel.co.il/Transaction2/Details?id=3791449
145,3791449,2025-11-01,גמר גביע ווינר: הפועל תל אביב,,60.0,,4242.0,נתונים נוספים,https://tickets.hapoel.co.il/Transaction2/Details?id=3791449
146,3791449,2025-11-01,גמר גביע ווינר: הפועל תל אביב,,60.0,,4242.0,נתונים נוספים,https://tickets.hapoel.co.il/Transaction2/Details?id=3791449
147,3791451,2025-11-01,Credit card,50.0,,70100,,נתונים נוספים,https://tickets.hapoel.co.il/Transaction2/Details?id=3791451
148,3791451,2025-11-01,גמר גביע ווינר: הפועל תל אביב,,50.0,,4242.0,נתונים נוספים,https://tickets.hapoel.co.il/Transaction2/Details?id=3791451
149,3791456,2025-11-01,Credit card,120.0,,70100,,נתונים נוספים,https://tickets.hapoel.co.il/Transaction2/Details?id=3791456
150,3791456,2025-11-01,גמר גביע ווינר: הפועל תל אביב,,60.0,,4242.0,נתונים נוספים,https://tickets.hapoel.co.il/Transaction2/Details?id=3791456
151,3791456,2025-11-01,גמר גביע ווינר: הפועל תל אביב,,60.0,,4242.0,נתונים נוספים,https://tickets.hapoel.co.il/Transaction2/Details?id=3791456
152,3791457,2025-11-01,Credit card,240.0,,70100,,נתונים נוספים,https://tickets.hapoel.co.il/Transaction2/Details?id=3791457
153,3791457,2025-11-01,גמר גביע ווינר: הפועל תל אביב,,60.0,,4242.0,נתונים נוספים,https://tickets.hapoel.co.il/Transaction2/Details?id=3791457
154,3791457,2025-11-01,גמר גביע ווינר: הפועל תל אביב,,60.0,,4242.0,נתונים נוספים,https://tickets.hapoel.co.il/Transaction2/Details?id=3791457
155,3791457,2025-11-01,גמר גביע ווינר: הפועל תל אביב,,60.0,,4242.0,נתונים נוספים,https://tickets.hapoel.co.il/Transaction2/Details?id=3791457
156,3791457,2025-11-01,גמר גביע ווינר: הפועל תל אביב,,60.0,,4242.0,נתונים נוספים,https://tickets.hapoel.co.il/Transaction2/Details?id=3791457
157,3791464,2025-11-01,Credit card,250.0,,70100,,נתונים נוספים,https://tickets.hapoel.co.il/Transaction2/Details?id=3791464
158,3791464,2025-11-01,גמר גביע ווינר: הפועל תל אביב,,50.0,,4242.0,נתונים נוספים,https://tickets.hapoel.co.il/Transaction2/Details?id=3791464
159,3791464,2025-11-01,גמר גביע ווינר: הפועל תל אביב,,50.0,,4242.0,נתונים נוספים,https://tickets.hapoel.co.il/Transaction2/Details?id=3791464
160,3791464,2025-11-01,גמר גביע ווינר: הפועל תל אביב,,50.0,,4242.0,נתונים נוספים,https://tickets.hapoel.co.il/Transaction2/Details?id=3791464
