"Installment Ticket Id","InstallmentTransactionId","InstallmentDate","InstallmentValueDate","InstallmentProducts","InstallmentPaymentPrice","InstallmentProductPrice","InstallmentPaymentExtRef","InstallmentProductExtRef","Installments"
"3503369","3791411","01/11/2025","","גמר גביע ווינר: הפועל תל אביב","","60","","4242",""
"3503367","3791411","01/11/2025","","גמר גביע ווינר: הפועל תל אביב","","60","","4242",""
"3503365","3791411","01/11/2025","","גמר גביע ווינר: הפועל תל אביב","","60","","4242",""
"3503368","3791411","01/11/2025","","גמר גביע ווינר: הפועל תל אביב","","60","","4242",""
"3503366","3791411","01/11/2025","","גמר גביע ווינר: הפועל תל אביב","","60","","4242",""
"","3791414","01/11/2025","01/11/2025","Credit card","120","","70100","",""
"3503383","3791414","01/11/2025","","גמר גביע ווינר: הפועל תל אביב","","60","","4242",""
"3503385","3791414","01/11/2025","","גמר גביע ווינר: הפועל תל אביב","","60","","4242",""
"","3791421","01/11/2025","01/11/2025","Credit card","60","","70100","",""
"3503390","3791421","01/11/2025","","גמר גביע ווינר: הפועל תל אביב","","60","","4242",""
"","3791427","01/11/2025","01/11/2025","Credit card","50","","70100","",""
"3503393","3791427","01/11/2025","","גמר גביע ווינר: הפועל תל אביב","","50","","4242",""
"","3791433","01/11/2025","01/11/2025","Credit card","134","","70100","",""
"3503399","3791433","01/11/2025","","גמר גביע ווינר: הפועל תל אביב","","134","","4242",""
"","3791434","01/11/2025","01/11/2025","Credit card","150","","70100","",""
"3503404","3791434","01/11/2025","","גמר גביע ווינר: הפועל תל אביב","","50","","4242",""
"3503402","3791434","01/11/2025","","גמר גביע ווינר: הפועל תל אביב","","50","","4242",""
"3503403","3791434","01/11/2025","","גמר גביע ווינר: הפועל תל אביב","","50","","4242",""
"","3791436","01/11/2025","01/11/2025","Credit card","50","","70100","",""
"3503411","3791436","01/11/2025","","גמר גביע ווינר: הפועל תל אביב","","50","","4242",""
"","3791440","01/11/2025","01/11/2025","Credit card","50","","70100","",""
"3503413","3791440","01/11/2025","","גמר גביע ווינר: הפועל תל אביב","","50","","4242",""
"","3791446","01/11/2025","01/11/2025","Credit card","120","","70100","",""
"3503420","3791446","01/11/2025","","גמר גביע ווינר: הפועל תל אביב","","60","","4242",""
"3503421","3791446","01/11/2025","","גמר גביע ווינר: הפועל תל אביב","","60","","4242",""
"","3791449","01/11/2025","01/11/2025","Credit card","180","","70100","",""
"3503430","3791449","01/11/2025","","גמר גביע ווינר: הפועל תל אביב","","60","","4242",""
"3503429","3791449","01/11/2025","","גמר גביע ווינר: הפועל תל אביב","","60","","4242",""
"3503431","3791449","01/11/2025","","גמר גביע ווינר: הפועל תל אביב","","60","","4242",""
"","3791451","01/11/2025","01/11/2025","Credit card","50","","70100","","1"
"3503432","3791451","01/11/2025","","גמר גביע ווינר: הפועל תל אביב","","50","","4242",""
"","3791456","01/11/2025","01/11/2025","Credit card","120","","70100","",""
"3503447","3791456","01/11/2025","","גמר גביע ווינר: הפועל תל אביב","","60","","4242",""
"3503448","3791456","01/11/2025","","גמר גביע ווינר: הפועל תל אביב","","60","","4242",""
"","3791457","01/11/2025","01/11/2025","Credit card","240","","70100","",""
"3503453","3791457","01/11/2025","","גמר גביע ווינר: הפועל תל אביב","","60","","4242",""
"3503454","3791457","01/11/2025","","גמר גביע ווינר: הפועל תל אביב","","60","","4242",""
"3503456","3791457","01/11/2025","","גמר גביע ווינר: הפועל תל אביב","","60","","4242",""
"3503455","3791457","01/11/2025","","גמר גביע ווינר: הפועל תל אביב","","60","","4242",""
"","3791464","01/11/2025","01/11/2025","Credit card","250","","70100","","1"
"3503464","3791464","01/11/2025","","גמר גביע ווינר: הפועל תל אביב","","50","","4242",""
"3503466","3791464","01/11/2025","","גמר גביע ווינר: הפועל תל אביב","","50","","4242",""
"3503465","3791464","01/11/2025","","גמר גביע ווינר: הפועל תל אביב","","50","","4242",""
"3503468","3791464","01/11/2025","","גמר גביע ווינר: הפועל תל אביב","","50","","4242",""
"3503467","3791464","01/11/2025","","גמר גביע ווינר: הפועל תל אביב","","50","","4242",""
"","3791467","01/11/2025","01/11/2025","Credit card","180","","70100","",""
"3503472","3791467","01/11/2025","","גמר גביע ווינר: הפועל תל אביב","","60","","4242",""
"3503470","3791467","01/11/2025","","גמר גביע ווינר: הפועל תל אביב","","60","","4242",""
"3503471","3791467","01/11/2025","","גמר גביע ווינר: הפועל תל אביב","","60","","4242",""
"","3791470","01/11/2025","01/11/2025","Credit card","268","","70100","",""
"3503473","3791470","01/11/2025","","גמר גביע ווינר: הפועל תל אביב","","134","","4242",""
"3503474","3791470","01/11/2025","","גמר גביע ווינר: הפועל תל אביב","","134","","4242",""
"","3791481","01/11/2025","01/11/2025","Credit card","250","","70100","",""
"3503511","3791481","01/11/2025","","גמר גביע ווינר: הפועל תל אביב","","50","","4242",""
"3503510","3791481","01/11/2025","","גמר גביע ווינר: הפועל תל אביב","","50","","4242",""
"3503512","3791481","01/11/2025","","גמר גביע ווינר: הפועל תל אביב","","50","","4242",""
"3503514","3791481","01/11/2025","","גמר גביע ווינר: הפועל תל אביב","","50","","4242",""
"3503513","3791481","01/11/2025","","גמר גביע ווינר: הפועל תל אביב","","50","","4242",""
"","3791484","01/11/2025","01/11/2025","Credit card","100","","70100","","1"
"3503521","3791484","01/11/2025","","גמר גביע ווינר: הפועל תל אביב","","50","","4242",""
"3503520","3791484","01/11/2025","","גמר גביע ווינר: הפועל תל אביב","","50","","4242",""
"","3791488","01/11/2025","01/11/2025","CustomPayment","-1000","","79991","",""
"245937","3791488","01/11/2025","","מחזור 4: מכבי ראשון לציון 🚗","","-50","","4241",""
"245927","3791488","01/11/2025","","מחזור 4: מכבי ראשון לציון 🚗","","-90","","4241",""
"245928","3791488","01/11/2025","","מחזור 4: מכבי ראשון לציון 🚗","","-90","","4241",""
"245931","3791488","01/11/2025","","מחזור 4: מכבי ראשון לציון 🚗","","-90","","4241",""
"245929","3791488","01/11/2025","","מחזור 4: מכבי ראשון לציון 🚗","","-90","","4241",""
"245930","3791488","01/11/2025","","מחזור 4: מכבי ראשון לציון 🚗","","-90","","4241",""
"245934","3791488","01/11/2025","","מחזור 4: מכבי ראשון לציון 🚗","","-90","","4241",""
"245936","3791488","01/11/2025","","מחזור 4: מכבי ראשון לציון 🚗","","-90","","4241",""
"245933","3791488","01/11/2025","","מחזור 4: מכבי ראשון לציון 🚗","","-90","","4241",""
"245935","3791488","01/11/2025","","מחזור 4: מכבי ראשון לציון 🚗","","-90","","4241",""
"245938","3791488","01/11/2025","","מחזור 4: מכבי ראשון לציון 🚗","","-50","","4241",""
"245932","3791488","01/11/2025","","מחזור 4: מכבי ראשון לציון 🚗","","-90","","4241",""
"","3791489","01/11/2025","01/11/2025","Credit card","50","","70100","","1"
"3503538","3791489","01/11/2025","","גמר גביע ווינר: הפועל תל אביב","","50","","4242",""
"","3791492","01/11/2025","01/11/2025","Credit card","50","","70100","",""
"3503535","3791492","01/11/2025","","גמר גביע ווינר: הפועל תל אביב","","50","","4242",""
"","3791494","01/11/2025","01/11/2025","Credit card","50","","70100","",""
"3503546","3791494","01/11/2025","","גמר גביע ווינר: הפועל תל אביב","","50","","4242",""
"","3791497","01/11/2025","01/11/2025","Credit card","50","","70100","",""
"3503547","3791497","01/11/2025","","גמר גביע ווינר: הפועל תל אביב","","50","","4242",""
"","3791501","01/11/2025","01/11/2025","Credit card","120","","70100","",""
"3503550","3791501","01/11/2025","","גמר גביע ווינר: הפועל תל אביב","","60","","4242",""
"3503551","3791501","01/11/2025","","גמר גביע ווינר: הפועל תל אביב","","60","","4242",""
"","3791505","01/11/2025","01/11/2025","Credit card","60","","70100","","1"
"3503562","3791505","01/11/2025","","גמר גביע ווינר: הפועל תל אביב","","60","","4242",""
"","3791506","01/11/2025","01/11/2025","Credit card","100","","70100","",""
"3503568","3791506","01/11/2025","","גמר גביע ווינר: הפועל תל אביב","","50","","4242",""
"3503567","3791506","01/11/2025","","גמר גביע ווינר: הפועל תל אביב","","50","","4242",""
"","3791510","01/11/2025","01/11/2025","Credit card","50","","70100","",""
"3503569","3791510","01/11/2025","","גמר גביע ווינר: הפועל תל אביב","","50","","4242",""
"","3791516","01/11/2025","01/11/2025","Credit card","250","","70100","",""
"3503587","3791516","01/11/2025","","גמר גביע ווינר: הפועל תל אביב","","50","","4242",""
"3503589","3791516","01/11/2025","","גמר גביע ווינר: הפועל תל אביב","","50","","4242",""
"3503582","3791516","01/11/2025","","גמר גביע ווינר: הפועל תל אביב","","50","","4242",""
"3503590","3791516","01/11/2025","","גמר גביע ווינר: הפועל תל אביב","","50","","4242",""
"3503583","3791516","01/11/2025","","גמר גביע ווינר: הפועל תל אביב","","50","","4242",""
